01/01/2025 16:22:45 - Tradução iniciada em: 2025-01-01_16-22-45
01/01/2025 16:22:45 - Processando página 1 de 306
01/01/2025 16:22:45 - Página 1 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_1.pdf
01/01/2025 16:22:45 - Processando página 2 de 306
01/01/2025 16:22:46 - Página 2 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_2.pdf
01/01/2025 16:22:46 - Processando página 3 de 306
01/01/2025 16:22:46 - Página 3 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_3.pdf
01/01/2025 16:22:46 - Processando página 4 de 306
01/01/2025 16:22:46 - Página 4 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_4.pdf
01/01/2025 16:22:46 - Processando página 5 de 306
01/01/2025 16:22:46 - Página 5 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_5.pdf
01/01/2025 16:22:46 - Processando página 6 de 306
01/01/2025 16:22:47 - Página 6 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_6.pdf
01/01/2025 16:22:47 - Processando página 7 de 306
01/01/2025 16:22:47 - Página 7 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_7.pdf
01/01/2025 16:22:47 - Processando página 8 de 306
01/01/2025 16:22:47 - Página 8 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_8.pdf
01/01/2025 16:22:47 - Processando página 9 de 306
01/01/2025 16:22:48 - Página 9 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_9.pdf
01/01/2025 16:22:48 - Processando página 10 de 306
01/01/2025 16:22:48 - Página 10 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_10.pdf
01/01/2025 16:22:48 - Processando página 11 de 306
01/01/2025 16:22:48 - Página 11 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_11.pdf
01/01/2025 16:22:48 - Processando página 12 de 306
01/01/2025 16:22:49 - Página 12 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_12.pdf
01/01/2025 16:22:49 - Processando página 13 de 306
01/01/2025 16:22:49 - Página 13 salva em paginas_traduzidas\traduzidas_2025-01-01_16-22-45/pagina_13.pdf
